station_id,station_name,station_number
108.0,"Abbey Orchard Street, Westminster",003429
559.0,"Abbotsbury Road, Holland Park",200111
394.0,"Aberdeen Place, St. John's Wood",002698
554.0,"Aberfeldy Street, Poplar",200078
583.0,"Abingdon Green, Westminster",200231
38.0,"Abingdon Villas, Kensington",003442
776.0,"Abyssinia Close, Clapham Junction",300099
505.0,"Ackroyd Drive, Bow",200038
718.0,"Ada Street, Hackney Central",300040
606.0,"Addison Road, Holland Park",200218
616.0,"Aintree Street, Fulham",200098
540.0,"Albany Street, The Regent's Park",200134
710.0,"Albert Bridge Road, Battersea Park",300045
100.0,"Albert Embankment, Vauxhall",001059
483.0,"Albert Gardens, Stepney",022166
303.0,"Albert Gate, Hyde Park",001132
802.0,"Albert Square, Stockwell",300209
185.0,"Alderney Street, Pimlico",001174
95.0,"Aldersgate Street, Barbican",001065
726.0,"Alfreda Street, Battersea Park",300047
661.0,"All Saints Church, Portobello",300023
643.0,"All Saints' Road, Portobello",300026
826.0,"Allington Street, Victoria",300242
724.0,"Alma Road, Wandsworth",300046
576.0,"Alpha Grove, Millwall",200109
26.0,"Ampton Street , Clerkenwell",001019
500.0,"Ansell House, Stepney",200148
518.0,"Antill Road, Mile End",200041
785.0,"Aquatic Centre, Queen Elizabeth Olympic Park",300233
641.0,"Archbishop's Park, Waterloo",300025
,"Argyle Street, Kings Cross",001011
168.0,"Argyll Road, Kensington",003463
545.0,"Arlington Road, Camden Town",200070
79.0,"Arundel Street, Temple",003455
670.0,"Ashley Crescent, Battersea",200169
177.0,"Ashley Place, Victoria",001122
654.0,"Ashmole Estate, Oval",200223
461.0,"Aston Street, Stepney",200013
664.0,"Austin Road, Battersea Park",300013
715.0,"Aylward Street, Stepney",300049
601.0,"BBC White City, White City",200136
121.0,"Baker Street, Marylebone",001086
319.0,"Baldwin Street, St. Luke's",003500
520.0,"Bancroft Road, Bethnal Green",200234
340.0,"Bank of England Museum, Bank",001201
193.0,"Bankside Mix, Bankside",000963
275.0,"Barbican Centre, Barbican",001191
707.0,"Barons Court Station, West Kensington",200197
119.0,"Bath Street, St. Luke's",000964
700.0,"Battersea Church Road, Battersea",200201
631.0,"Battersea Park Road, Nine Elms",200183
821.0,"Battersea Power Station, Battersea Park",300221
88.0,"Bayley Street , Bloomsbury",001006
272.0,"Baylis Road, Waterloo",001133
153.0,"Bayswater Road, Hyde Park",001096
242.0,"Beaumont Street, Marylebone",003482
287.0,"Bedford Way, Bloomsbury",001156
699.0,"Belford House, Haggerston",200057
268.0,"Belgrave Road, Victoria",001087
181.0,"Belgrave Square, Belgravia",003473
14.0,"Belgrove Street , King's Cross",001011
506.0,"Bell Lane, Liverpool Street",200036
182.0,"Bell Street , Marylebone",001166
273.0,"Belvedere Road 1, South Bank",001186
819.0,"Belvedere Road 2, South Bank",300246
845.0,"Bermondsey Station, Bermondsey",300253
321.0,"Bermondsey Street, Bermondsey",002637
246.0,"Berry Street, Clerkenwell",001159
686.0,"Beryl Road, Hammersmith",200097
444.0,"Bethnal Green Garden, Bethnal Green",200047
132.0,"Bethnal Green Road, Shoreditch",000973
807.0,"Bevington Road West, North Kensington",300236
772.0,"Binfield Road, Stockwell",300015
798.0,"Birkenhead Street, King's Cross",300212
681.0,"Bishop's Avenue, Fulham",200043
592.0,"Bishop's Bridge Road East, Bayswater",200108
568.0,"Bishop's Bridge Road West, Bayswater",200110
307.0,"Black Lion Gate, Kensington Gardens",001157
310.0,"Black Prince Road, Vauxhall",001205
792.0,"Blackfriars Road, Southwark",300214
659.0,"Blackfriars Station, St. Paul's",200212
742.0,"Blenheim Crescent, Ladbroke Grove",300090
657.0,"Blythe Road West, Shepherd's Bush",200220
525.0,"Blythe Road, Olympia",200153
28.0,"Bolsover Street, Fitzrovia",001025
502.0,"Bonner Gate, Victoria Park",200241
462.0,"Bonny Street, Camden Town",200105
125.0,"Borough High Street, The Borough",000996
92.0,"Borough Road, Elephant & Castle",001082
45.0,"Boston Place, Marylebone",001035
259.0,"Bourne Street, Belgravia",001180
27.0,"Bouverie Street, Temple",001021
495.0,"Bow Church Station, Bow",200252
498.0,"Bow Road Station, Bow",200251
614.0,"Bradmead, Battersea Park",
115.0,"Braham Street, Aldgate",001062
219.0,"Bramham Gardens, Earl's Court",001183
850.0,"Brandon Street, Walworth",300060
84.0,"Breams Buildings, Holborn",003449
399.0,"Brick Lane Market, Shoreditch",002687
94.0,"Bricklayers Arms, Borough",001070
730.0,"Bridge Avenue, Hammersmith",300082
24.0,"British Museum, Bloomsbury",000981
6.0,"Broadcasting House, Marylebone",003424
759.0,"Broadley Terrace, Marylebone",300072
260.0,"Broadwick Street, Soho",003489
484.0,"Bromley High Street, Bow",022172
634.0,"Brook Green South, Brook Green",300002
656.0,"Broomhouse Lane, Parsons Green",200040
11.0,"Brunswick Square, Bloomsbury",001022
251.0,"Brushfield Street, Liverpool Street",001161
44.0,"Bruton Street, Mayfair",001034
646.0,"Buckingham Gate, Westminster",200178
331.0,"Bunhill Row, Moorgate",001211
460.0,"Burdett Road, Mile End",200123
846.0,"Burgess Park Albany Road, Walworth",300063
562.0,"Bury Place, Holborn",200074
359.0,"Butler Place, Westminster",002662
390.0,"Buxton Street 1, Shoreditch",001223
692.0,"Cadogan Close, Victoria Park",200112
395.0,"Cadogan Gardens, Chelsea",002695
211.0,"Cadogan Place, Knightsbridge",003469
603.0,"Caldwell Street, Stockwell",200137
70.0,"Calshot Street , King's Cross",001066
212.0,"Campden Hill Road, Notting Hill",003487
844.0,"Canada Water Station, Rotherhithe",300252
487.0,"Canton Street, Poplar",022175
468.0,"Cantrell Road, Bow",200150
232.0,"Carey Street, Holborn",001139
674.0,"Carnegie Street, King's Cross",300035
525.0,"Cartier Circle, Canary Wharf",
16.0,"Cartwright Gardens , Bloomsbury",001010
457.0,"Castlehaven Road, Camden Town",200016
33.0,"Central House, Aldgate",003430
501.0,"Cephas Street, Bethnal Green",200073
254.0,"Chadwell Street, Angel",003471
82.0,"Chancery Lane, Holborn",003453
141.0,"Chapel Place, Marylebone",001003
696.0,"Charing Cross Hospital, Hammersmith",300018
7.0,"Charlbert Street, St. John's Wood",003422
226.0,"Charles II Street, West End",003488
381.0,"Charlotte Street, Fitzrovia",002669
697.0,"Charlotte Terrace, Angel",200129
427.0,"Cheapside, Bank",022180
419.0,"Chelsea Bridge, Pimlico",022160
220.0,"Chelsea Green, Chelsea",001179
151.0,"Chepstow Villas, Notting Hill",001120
445.0,"Cheshire Street, Bethnal Green",200003
727.0,"Chesilton Road, Fulham",300054
,"Chicheley Street, South Bank",200206
516.0,"Chrisp Street Market, Poplar",200089
489.0,"Christian Street, Whitechapel",022177
3.0,"Christopher Street, Liverpool Street",001012
365.0,"City Road, Angel",002690
768.0,"Clapham Common North Side, Clapham Common",300065
355.0,"Clapham Common Station, Clapham Common",002694
814.0,"Clapham Road, Lingham Street, Stockwell",300245
,"Clapham South, Clapham South",300006
189.0,"Claremont Square, Angel",001104
630.0,"Clarence Walk, Stockwell",200194
663.0,"Clarendon Road, Avondale",200124
528.0,"Clarges Street, Mayfair",200088
507.0,"Clarkson Street, Bethnal Green",200131
291.0,"Claverton Street, Pimlico",001135
412.0,"Cleaver Street, Kennington",010628
,"Clements Road, Bermondsey",200216
135.0,"Clerkenwell Green, Clerkenwell",001053
164.0,"Cleveland Gardens, Bayswater",001178
503.0,"Cleveland Way, Stepney",200250
391.0,"Clifford Street, Mayfair",002688
255.0,"Clifton Road, Maida Vale",001147
323.0,"Clifton Street, Shoreditch",003501
522.0,"Clinton Road, Mile End",200161
93.0,"Cloudesley Road, Angel",002586
608.0,"Colet Gardens, Hammersmith",200224
171.0,"Collingham Gardens, Earl's Court",003459
240.0,"Colombo Street, Southwark",
401.0,"Columbia Road, Shoreditch",002701
40.0,"Commercial Street, Shoreditch",001083
334.0,"Concert Hall Approach 1, South Bank",002635
336.0,"Concert Hall Approach 2, South Bank",001212
639.0,"Coomer Place, West Kensington",200081
639.0,"Coomer Place, West Kensington",300006
,"Coomer Place, West Kensington_OLD",300006-1
788.0,"Copper Box Arena, Queen Elizabeth Olympic Park",300226
796.0,"Coram Street, Bloomsbury",300201
62.0,"Cotton Garden Estate, Kennington",000990
624.0,"Courland Grove, Wandsworth Road",200173
655.0,"Crabtree Lane, Fulham",200221
827.0,"Cranmer Road, Stockwell",300247
341.0,"Craven Street, Strand",001160
43.0,"Crawford Street, Marylebone",001036
,"Crimscott Street, Bermondsey",300061
431.0,"Crinan Street, King's Cross",022183
682.0,"Crisp Road, Hammersmith",200059
793.0,"Cromer Street, Bloomsbury",300205
104.0,"Crosswall, Tower",000991
750.0,"Culvert Road, Battersea",300080
298.0,"Curlew Street, Shad Thames",001213
49.0,"Curzon Street, Mayfair",003437
610.0,"Danvers Street, West Chelsea",200222
36.0,"De Vere Gardens, Kensington",003446
209.0,"Denyer Street, Knightsbridge",003454
133.0,"Derry Street, Kensington",003436
496.0,"Devons Road, Bow",200255
87.0,"Devonshire Square, Liverpool Street",003438
397.0,"Devonshire Terrace, Bayswater",001227
317.0,"Dickens Square, Borough",001208
708.0,"Disraeli Road, Putney",200217
,"Disraeli Road, Putney2",200217old2
237.0,"Dock Street, Wapping",003467
580.0,"Doddington Grove, Kennington",200084
25.0,"Doric Way , Somers Town",001004
683.0,"Dorothy Road, Clapham Junction",200119
201.0,"Dorset Square, Marylebone",001162
589.0,"Drayton Gardens, West Chelsea",200060
521.0,"Driffield Road, Old Ford",200030
20.0,"Drummond Street , Euston",000993
18.0,"Drury Lane, Covent Garden",001007
732.0,"Duke Street Hill, London Bridge",300083
717.0,"Dunston Road , Haggerston",300024
702.0,"Durant Street, Bethnal Green",200213
574.0,"Eagle Wharf Road, Hoxton",200246
244.0,"Earnshaw Street , Covent Garden",001145
455.0,"East Ferry Road, Cubitt Town",200031
547.0,"East India DLR, Blackwall",200127
50.0,"East Road, Hoxton",001054
784.0,"East Village, Queen Elizabeth Olympic Park",300200
330.0,"Eastbourne Mews, Paddington",001203
423.0,"Eaton Square (South), Belgravia",022164
124.0,"Eaton Square, Belgravia",001069
424.0,"Ebury Bridge, Pimlico",022159
167.0,"Eccleston Place, Victoria",003465
410.0,"Edgware Road Station, Marylebone",001058
618.0,"Eel Brook Common, Walham Green",300003
,"Elgin Avenue, Maida Hill",300071
288.0,"Elizabeth Bridge, Victoria",001138
617.0,"Elysium Place, Fulham",200028
309.0,"Embankment (Savoy), Strand",001192
128.0,"Emperor's Gate, South Kensington",001116
269.0,"Empire Square, The Borough",001209
214.0,"Endsleigh Gardens, Euston",001079
691.0,"Erin Close, Walham Green",200184
678.0,"Esmond Street, Putney",200170
658.0,"Ethelburga Estate, Battersea Park",300005
69.0,"Euston Road, Euston",000983
795.0,"Euston Square Gardens, Euston",300203
711.0,"Everington Street, Fulham",300028
131.0,"Eversholt Street , Camden Town",001005
652.0,"Evesham Street, Avondale",300022
432.0,"Exhibition Road Museums 1, South Kensington",022158
482.0,"Exhibition Road Museums 2, South Kensington",200052
428.0,"Exhibition Road, Knightsbridge",022179
638.0,"Falcon Road, Clapham Junction",300014
96.0,"Falkirk Street, Hoxton",001047
31.0,"Fanshaw Street, Hoxton",003427
382.0,"Farm Street, Mayfair",002678
72.0,"Farringdon Lane, Clerkenwell",003432
835.0,"Farringdon Street, Holborn",300220
236.0,"Fashion Street, Whitechapel",003483
642.0,"Fawcett Close, Battersea",200192
693.0,"Felsham Road, Putney",300019
832.0,"Ferndale Road, Brixton",200240
615.0,"Finlay Street, Fulham",200029
722.0,"Finnis Street, Bethnal Green",300041
55.0,"Finsbury Circus, Liverpool Street",000984
107.0,"Finsbury Leisure Centre, St. Luke's",001049
51.0,"Finsbury Library , Finsbury",000986
140.0,"Finsbury Square , Moorgate",001056
387.0,"Fire Brigade Pier, Vauxhall",002703
448.0,"Fisherman's Walk West, Canary Wharf",022165
480.0,"Flamborough Street, Limehouse",200115
345.0,"Flood Street, Chelsea",001218
311.0,"Foley Street, Fitzrovia",003494
517.0,"Ford Road, Old Ford",200027
838.0,"Fore Street Avenue, Guildhall",300222
838.0,"Fore Street Avenue, Guildhall",200253
509.0,"Fore Street, Guildhall",200253
509.0,"Fore Street, Guildhall",300222
508.0,"Fournier Street, Whitechapel",200157
238.0,"Frampton Street, Paddington",001099
741.0,"Freston Road, Avondale",300085
383.0,"Frith Street, Soho",002660
737.0,"Fulham Broadway, Walham Green",300086
597.0,"Fulham Park Road, Fulham",200229
499.0,"Furze Green, Bow",200011
453.0,"Garnet Street, Shadwell",200045
834.0,"Gas Holders, Battersea Park",300216
474.0,"Gascoyne Road, Victoria Park",200155
808.0,"Gauden Road, Clapham",300207
549.0,"Gaywood  Street, Elephant & Castle",200132
403.0,"George Place Mews, Marylebone",010630
840.0,"George Row, Bermondsey",002679
400.0,"George Street, Marylebone",001225
297.0,"Geraldine Street, Elephant & Castle",003498
577.0,"Globe Town Market, Bethnal Green",200247
535.0,"Gloucester Avenue, Camden Town",200145
113.0,"Gloucester Road (Central), South Kensington",003435
97.0,"Gloucester Road (North), Kensington",003447
405.0,"Gloucester Road Station, South Kensington",001107
243.0,"Gloucester Street, Pimlico",001103
176.0,"Gloucester Terrace, Bayswater",001173
48.0,"Godliman Street, St. Paul's",000971
54.0,"Golden Lane, Barbican",000967
129.0,"Golden Square, Soho",003451
534.0,"Goldsmith's Row, Haggerston",200159
804.0,"Good's Way, King's Cross",300243
344.0,"Goswell Road (City Uni), Finsbury",001222
65.0,"Gower Place , Euston",000969
53.0,"Grafton Street, Mayfair",003431
326.0,"Graham Street, Angel",001131
486.0,"Granby Street, Shoreditch",022174
735.0,"Grant Road East, Clapham Junction",200120
61.0,"Great Dover Street, The Borough",001017
159.0,"Great Marlborough Street, Soho",
227.0,"Great Percy Street, Clerkenwell",003470
15.0,"Great Russell Street, Bloomsbury",000988
645.0,"Great Suffolk Street, The Borough",200200
81.0,"Great Titchfield Street, Fitzrovia",003450
199.0,"Great Tower Street, Monument",001080
541.0,"Green Park Station, Mayfair",200096
138.0,"Green Street, Mayfair",003464
590.0,"Greenberry Street, St.John's Wood",200236
572.0,"Greenland Road, Camden Town",200026
754.0,"Grenfell Road, Avondale",300067
353.0,"Greycoat Street , Westminster",010623
635.0,"Greyhound Road, Hammersmith",200215
207.0,"Grosvenor Crescent, Belgravia",001169
245.0,"Grosvenor Road, Pimlico",001140
348.0,"Grosvenor Square, Mayfair",010627
312.0,"Grove End Road, St. John's Wood",001130
161.0,"Guildhouse Street, Victoria",003478
57.0,"Guilford Street , Bloomsbury",000974
459.0,"Gunmakers Lane, Old Ford",200014
770.0,"Gwendwr Road, West Kensington",300097
749.0,"Haggerston Road, Haggerston",300081
782.0,"Halford Road, West Kensington",300210
595.0,"Hammersmith Road, Hammersmith",200142
,"Hammersmith Town Hall, Hammersmith",300254
98.0,"Hampstead Road, Euston",000972
152.0,"Hampton Street, Walworth",001118
806.0,"Handyside Street, King's Cross",300241
527.0,"Hansard Mews, Holland Park",200154
757.0,"Harcourt Terrace, West Brompton",300069
170.0,"Hardwick Street, Clerkenwell",001057
,"Hardwick Street, Clerkenwell_old2",001057_old
550.0,"Harford Street, Mile End",200102
249.0,"Harper Road, The Borough",001137
368.0,"Harriet Street, Knightsbridge",002681
90.0,"Harrington Square 1, Camden Town",001038
425.0,"Harrington Square 2, Camden Town",
,"Harris Academy, Bermondsey",300004
367.0,"Harrowby Street, Marylebone",002680
676.0,"Hartington Road, Stockwell",200207
67.0,"Hatton Garden, Holborn",000985
17.0,"Hatton Wall, Holborn",001008
713.0,"Hawley Crescent, Camden Town",200122
